Number,Subject Label,Clip,Clip Name,Emotion,Emotion Code,Gender,,,,
1,1,001,S001_001,Anger,1,M,,Emotion Codes,,Total Count
2,1,002,S001_002,Disgust,3,M,,1,Anger,43
3,1,003,S001_003,Boredom,2,M,,2,Boredom,27
4,1,004,S001_004,Intrest,6,M,,3,Disgust,35
5,2,002,S002_002,Happiness,5,M,,4,Fear,36
6,2,003,S002_003,Sadness,7,M,,5,Happiness,27
7,2,004,S002_004,Fear,4,M,,6,Interest,29
8,2,005,S002_005,Anger,1,M,,7,Sadness,38
9,2,006,S002_006,Disgust,3,M,,8,Surprise,0
10,2,007,S002_007,Unsure,9,M,,9,Unsure,38
11,2,009,S002_009,Intrest,6,M,,,,273
12,3,002,S003_002,Happiness,5,M,,,,
13,3,003,S003_003,Sadness,7,M,,,,
14,3,004,S003_004,Fear,4,M,,,,
15,3,005,S003_005,Anger,1,M,,,,
16,3,006,S003_006,Disgust,3,M,,,,
17,3,007,S003_007,Unsure,9,M,,,,
18,3,008,S003_008,Boredom,2,M,,,,
19,3,009,S003_009,Intrest,6,M,,,,
20,4,002,S004_002,Happiness,5,M,,,,
21,4,003,S004_003,Sadness,7,M,,,,
22,4,004,S004_004,Fear,4,M,,,,
23,4,005,S004_005,Anger,1,M,,,,
24,4,006,S004_006,Disgust,3,M,,,,
25,4,007,S004_007,Unsure,9,M,,,,
26,4,008,S004_008,Boredom,2,M,,,,
27,4,009,S004_009,Intrest,6,M,,,,
36,6,002,S006_002,Happiness,5,M,,,,
37,6,003,S006_003,Sadness,7,M,,,,
38,6,004,S006_004,Fear,4,M,,,,
39,6,005,S006_005,Anger,1,M,,,,
40,6,006,S006_006,Disgust,3,M,,,,
41,6,007,S006_007,Unsure,9,M,,,,
42,6,008,S006_008,Boredom,2,M,,,,
43,6,009,S006_009,Intrest,6,M,,,,
44,7,002,S007_002,Happiness,5,M,,,,
45,7,003,S007_003,Happiness,5,M,,,,
46,7,004,S007_004,Sadness,7,M,,,,
47,7,006,S007_006,Fear,4,M,,,,
48,7,007,S007_007,Anger,1,M,,,,
49,7,008,S007_008,Disgust,3,M,,,,
50,7,009,S007_009,Boredom,2,M,,,,
51,7,010,S007_010,Intrest,6,M,,,,
52,8,002,S008_002,Happiness,5,M,,,,
53,8,003,S008_003,Fear,4,M,,,,
54,8,004,S008_004,Fear,4,M,,,,
55,8,005,S008_005,Fear,4,M,,,,
56,8,006,S008_006,Anger,1,M,,,,
57,8,007,S008_007,Anger,1,M,,,,
58,8,008,S008_008,Anger,1,M,,,,
59,8,009,S008_009,Disgust,3,M,,,,
60,8,010,S008_010,Disgust,3,M,,,,
61,8,011,S008_011,Disgust,3,M,,,,
62,8,012,S008_012,Unsure,9,M,,,,
63,8,013,S008_013,Unsure,9,M,,,,
64,8,014,S008_014,Boredom,2,M,,,,
65,8,015,S008_015,Anger,1,M,,,,
66,8,016,S008_016,Intrest,6,M,,,,
67,9,002,S009_002,Happiness,5,M,,,,
68,9,003,S009_003,Sadness,7,M,,,,
69,9,004,S009_004,Fear,4,M,,,,
70,9,005,S009_005,Anger,1,M,,,,
71,9,006,S009_006,Disgust,3,M,,,,
72,9,007,S009_007,Unsure,9,M,,,,
73,9,009,S009_009,Intrest,6,M,,,,
74,10,003,S010_003,Happiness,5,F,,,,
75,10,004,S010_004,Sadness,7,F,,,,
76,10,005,S010_005,Fear,4,F,,,,
77,10,006,S010_006,Disgust,3,F,,,,
78,10,007,S010_007,Unsure,9,F,,,,
79,10,008,S010_008,Boredom,2,F,,,,
80,10,009,S010_009,Intrest,6,F,,,,
81,11,003,S011_003,Happiness,5,M,,,,
82,11,004,S011_004,Sadness,7,M,,,,
83,11,005,S011_005,Sadness,7,M,,,,
84,11,006,S011_006,Fear,4,M,,,,
85,11,007,S011_007,Anger,1,M,,,,
86,11,008,S011_008,Disgust,3,M,,,,
87,11,009,S011_009,Unsure,9,M,,,,
88,11,010,S011_010,Boredom,2,M,,,,
89,11,011,S011_011,Intrest,6,M,,,,
90,12,003,S012_003,Happiness,5,F,,,,
91,12,004,S012_004,Sadness,7,F,,,,
92,12,005,S012_005,Anger,1,F,,,,
93,12,006,S012_006,Disgust,3,F,,,,
94,12,007,S012_007,Unsure,9,F,,,,
95,12,008,S012_008,Boredom,2,F,,,,
96,12,009,S012_009,Intrest,6,F,,,,
97,13,003,S013_003,Sadness,7,M,,,,
98,13,004,S013_004,Fear,4,M,,,,
99,13,005,S013_005,Anger,1,M,,,,
100,13,006,S013_006,Anger,1,M,,,,
101,13,007,S013_007,Disgust,3,M,,,,
102,13,008,S013_008,Anger,1,M,,,,
103,13,009,S013_009,Unsure,9,M,,,,
104,13,010,S013_010,Unsure,9,M,,,,
105,13,011,S013_011,Anger,1,M,,,,
106,13,012,S013_012,Intrest,6,M,,,,
107,14,002,S014_002,Happiness,5,M,,,,
108,14,003,S014_003,Sadness,7,M,,,,
109,14,004,S014_004,Sadness,7,M,,,,
110,14,005,S014_005,Fear,4,M,,,,
111,14,006,S014_006,Anger,1,M,,,,
112,14,007,S014_007,Disgust,3,M,,,,
113,14,008,S014_008,Unsure,9,M,,,,
114,14,009,S014_009,Boredom,2,M,,,,
115,14,010,S014_010,Intrest,6,M,,,,
116,15,004,S015_004,Fear,4,M,,,,
117,15,005,S015_005,Disgust,3,M,,,,
118,16,002,S016_002,Sadness,7,M,,,,
119,16,005,S016_005,Anger,1,M,,,,
120,16,006,S016_006,Anger,1,M,,,,
121,16,007,S016_007,Fear,4,M,,,,
122,16,009,S016_009,Intrest,6,M,,,,
123,17,001,S017_001,Happiness,5,F,,,,
124,17,002,S017_002,Sadness,7,F,,,,
125,17,003,S017_003,Sadness,7,F,,,,
126,17,004,S017_004,Fear,4,F,,,,
127,17,005,S017_005,Anger,1,F,,,,
128,17,006,S017_006,Disgust,3,F,,,,
129,17,007,S017_007,Unsure,9,F,,,,
130,18,002,S018_002,Happiness,5,M,,,,
131,18,003,S018_003,Sadness,7,M,,,,
132,18,004,S018_004,Sadness,7,M,,,,
133,18,005,S018_005,Fear,4,M,,,,
134,18,006,S018_006,Anger,1,M,,,,
135,18,007,S018_007,Disgust,3,M,,,,
136,18,008,S018_008,Unsure,9,M,,,,
137,18,010,S018_010,Intrest,6,M,,,,
138,19,005,S019_005,Happiness,5,F,,,,
139,19,007,S019_006,Sadness,7,F,,,,
140,19,009,S019_008,Sadness,7,F,,,,
141,19,010,S019_009,Sadness,7,F,,,,
142,19,011,S019_010,Fear,4,F,,,,
143,19,012,S019_011,Fear,4,F,,,,
144,19,013,S019_012,Anger,1,F,,,,
145,19,014,S019_013,Anger,1,F,,,,
146,19,015,S019_014,Anger,1,F,,,,
147,19,016,S019_015,Disgust,3,F,,,,
148,19,017,S019_016,Unsure,9,F,,,,
149,19,018,S019_017,Unsure,9,F,,,,
150,19,019,S019_018,Unsure,9,F,,,,
151,19,020,S019_019,Boredom,2,F,,,,
152,19,021,S019_020,Boredom,2,F,,,,
153,19,022,S019_021,Intrest,6,F,,,,
154,19,023,S019_022,Intrest,6,F,,,,
155,20,002,S019_023,Happiness,5,M,,,,
156,20,004,S020_004,Sadness,7,M,,,,
157,20,006,S020_006,Sadness,7,M,,,,
158,20,007,S020_007,Fear,4,M,,,,
159,20,008,S020_008,Fear,4,M,,,,
160,20,009,S020_009,Anger,1,M,,,,
161,20,010,S020_010,Disgust,3,M,,,,
162,20,011,S020_011,Disgust,3,M,,,,
163,20,012,S020_012,Unsure,9,M,,,,
164,20,013,S020_013,Boredom,2,M,,,,
165,20,014,S020_014,Intrest,6,M,,,,
166,21,001,S021_001,Happiness,5,F,,,,
167,21,002,S021_002,Unsure,9,F,,,,
168,21,003,S021_003,Sadness,7,F,,,,
169,21,004,S021_004,Fear,4,F,,,,
170,21,005,S021_005,Anger,1,F,,,,
171,21,006,S021_006,Disgust,3,F,,,,
172,21,007,S021_007,Unsure,9,F,,,,
173,21,008,S021_008,Boredom,2,F,,,,
174,21,009,S021_009,Intrest,6,F,,,,
175,22,001,S022_001,Happiness,5,F,,,,
176,22,003,S022_003,Sadness,7,F,,,,
177,22,004,S022_004,Fear,4,F,,,,
178,22,005,S022_005,Fear,4,F,,,,
179,22,006,S022_006,Anger,1,F,,,,
180,22,007,S022_007,Disgust,3,F,,,,
181,22,008,S022_008,Unsure,9,F,,,,
182,22,009,S022_009,Boredom,2,F,,,,
183,22,010,S022_010,Intrest,6,F,,,,
184,23,002,S023_002,Happiness,5,M,,,,
185,23,003,S023_003,Sadness,7,M,,,,
186,23,004,S023_004,Sadness,7,M,,,,
187,23,005,S023_005,Fear,4,M,,,,
188,23,006,S023_006,Fear,4,M,,,,
189,23,007,S023_007,Anger,1,M,,,,
190,23,008,S023_008,Anger,1,M,,,,
191,23,009,S023_009,Disgust,3,M,,,,
192,23,010,S023_010,Disgust,3,M,,,,
193,23,011,S023_011,Unsure,9,M,,,,
194,23,012,S023_012,Unsure,9,M,,,,
195,23,013,S023_013,Boredom,2,M,,,,
196,23,014,S023_014,Intrest,6,M,,,,
197,24,001,S024_001,Happiness,5,M,,,,
